number,season,episode,airdate,title,tvmaze link
234,11,10,09 Dec 09,"Anchor","https://www.tvmaze.com/episodes/7212/law-order-special-victims-unit-11x10-anchor"
235,11,11,06 Jan 10,"Quickie","https://www.tvmaze.com/episodes/7213/law-order-special-victims-unit-11x11-quickie"
236,11,12,13 Jan 10,"Shadow","https://www.tvmaze.com/episodes/7214/law-order-special-victims-unit-11x12-shadow"
237,11,13,03 Mar 10,"P.C.","https://www.tvmaze.com/episodes/7215/law-order-special-victims-unit-11x13-pc"
238,11,14,03 Mar 10,"Savior","https://www.tvmaze.com/episodes/7216/law-order-special-victims-unit-11x14-savior"
239,11,15,10 Mar 10,"Confidential","https://www.tvmaze.com/episodes/7217/law-order-special-victims-unit-11x15-confidential"
240,11,16,17 Mar 10,"Witness","https://www.tvmaze.com/episodes/7218/law-order-special-victims-unit-11x16-witness"
241,11,17,24 Mar 10,"Disabled","https://www.tvmaze.com/episodes/7219/law-order-special-victims-unit-11x17-disabled"
242,11,18,31 Mar 10,"Bedtime","https://www.tvmaze.com/episodes/7220/law-order-special-victims-unit-11x18-bedtime"
243,11,19,07 Apr 10,"Conned","https://www.tvmaze.com/episodes/7221/law-order-special-victims-unit-11x19-conned"
244,11,20,21 Apr 10,"Beef","https://www.tvmaze.com/episodes/7222/law-order-special-victims-unit-11x20-beef"
245,11,21,28 Apr 10,"Torch","https://www.tvmaze.com/episodes/7223/law-order-special-victims-unit-11x21-torch"
246,11,22,05 May 10,"Ace","https://www.tvmaze.com/episodes/7224/law-order-special-victims-unit-11x22-ace"
247,11,23,12 May 10,"Wannabe","https://www.tvmaze.com/episodes/7225/law-order-special-victims-unit-11x23-wannabe"
248,11,24,19 May 10,"Shattered","https://www.tvmaze.com/episodes/7226/law-order-special-victims-unit-11x24-shattered"
249,12,1,22 Sep 10,"Locum","https://www.tvmaze.com/episodes/7227/law-order-special-victims-unit-12x01-locum"
250,12,2,22 Sep 10,"Bullseye","https://www.tvmaze.com/episodes/7228/law-order-special-victims-unit-12x02-bullseye"
251,12,3,29 Sep 10,"Behave","https://www.tvmaze.com/episodes/7229/law-order-special-victims-unit-12x03-behave"
252,12,4,06 Oct 10,"Merchandise","https://www.tvmaze.com/episodes/7230/law-order-special-victims-unit-12x04-merchandise"
253,12,5,13 Oct 10,"Wet","https://www.tvmaze.com/episodes/7231/law-order-special-victims-unit-12x05-wet"
254,12,6,20 Oct 10,"Branded","https://www.tvmaze.com/episodes/7232/law-order-special-victims-unit-12x06-branded"
255,12,7,03 Nov 10,"Trophy","https://www.tvmaze.com/episodes/7233/law-order-special-victims-unit-12x07-trophy"
256,12,8,10 Nov 10,"Penetration","https://www.tvmaze.com/episodes/7234/law-order-special-victims-unit-12x08-penetration"
257,12,9,17 Nov 10,"Gray","https://www.tvmaze.com/episodes/7235/law-order-special-victims-unit-12x09-gray"
258,12,10,01 Dec 10,"Rescue","https://www.tvmaze.com/episodes/7236/law-order-special-victims-unit-12x10-rescue"
259,12,11,05 Jan 11,"Pop","https://www.tvmaze.com/episodes/7237/law-order-special-victims-unit-12x11-pop"
260,12,12,05 Jan 11,"Possessed","https://www.tvmaze.com/episodes/7238/law-order-special-victims-unit-12x12-possessed"
261,12,13,12 Jan 11,"Mask","https://www.tvmaze.com/episodes/7239/law-order-special-victims-unit-12x13-mask"
262,12,14,19 Jan 11,"Dirty","https://www.tvmaze.com/episodes/7240/law-order-special-victims-unit-12x14-dirty"
263,12,15,02 Feb 11,"Flight","https://www.tvmaze.com/episodes/7241/law-order-special-victims-unit-12x15-flight"
264,12,16,09 Feb 11,"Spectacle","https://www.tvmaze.com/episodes/7242/law-order-special-victims-unit-12x16-spectacle"
265,12,17,16 Feb 11,"Pursuit","https://www.tvmaze.com/episodes/7243/law-order-special-victims-unit-12x17-pursuit"
266,12,18,23 Feb 11,"Bully","https://www.tvmaze.com/episodes/7244/law-order-special-victims-unit-12x18-bully"
267,12,19,23 Mar 11,"Bombshell","https://www.tvmaze.com/episodes/7245/law-order-special-victims-unit-12x19-bombshell"
268,12,20,30 Mar 11,"Totem","https://www.tvmaze.com/episodes/7246/law-order-special-victims-unit-12x20-totem"
269,12,21,06 Apr 11,"Reparations","https://www.tvmaze.com/episodes/7247/law-order-special-victims-unit-12x21-reparations"
270,12,22,04 May 11,"Bang","https://www.tvmaze.com/episodes/7248/law-order-special-victims-unit-12x22-bang"
271,12,23,11 May 11,"Delinquent","https://www.tvmaze.com/episodes/7249/law-order-special-victims-unit-12x23-delinquent"
272,12,24,18 May 11,"Smoked","https://www.tvmaze.com/episodes/7250/law-order-special-victims-unit-12x24-smoked"
273,13,1,21 Sep 11,"Scorched Earth","https://www.tvmaze.com/episodes/7251/law-order-special-victims-unit-13x01-scorched-earth"
274,13,2,28 Sep 11,"Personal Fouls","https://www.tvmaze.com/episodes/7252/law-order-special-victims-unit-13x02-personal-fouls"
275,13,3,05 Oct 11,"Blood Brothers","https://www.tvmaze.com/episodes/7253/law-order-special-victims-unit-13x03-blood-brothers"
276,13,4,12 Oct 11,"Double Strands","https://www.tvmaze.com/episodes/7254/law-order-special-victims-unit-13x04-double-strands"
277,13,5,19 Oct 11,"Missing Pieces","https://www.tvmaze.com/episodes/7255/law-order-special-victims-unit-13x05-missing-pieces"
278,13,6,02 Nov 11,"True Believers","https://www.tvmaze.com/episodes/7256/law-order-special-victims-unit-13x06-true-believers"
279,13,7,09 Nov 11,"Russian Brides","https://www.tvmaze.com/episodes/7257/law-order-special-victims-unit-13x07-russian-brides"
280,13,8,16 Nov 11,"Educated Guess","https://www.tvmaze.com/episodes/7258/law-order-special-victims-unit-13x08-educated-guess"
281,13,9,30 Nov 11,"Lost Traveler","https://www.tvmaze.com/episodes/7259/law-order-special-victims-unit-13x09-lost-traveler"
282,13,10,07 Dec 11,"Spiraling Down","https://www.tvmaze.com/episodes/7260/law-order-special-victims-unit-13x10-spiraling-down"
283,13,11,11 Jan 12,"Theatre Tricks","https://www.tvmaze.com/episodes/7261/law-order-special-victims-unit-13x11-theatre-tricks"
284,13,12,18 Jan 12,"Official Story","https://www.tvmaze.com/episodes/7262/law-order-special-victims-unit-13x12-official-story"
285,13,13,08 Feb 12,"Father's Shadow","https://www.tvmaze.com/episodes/7263/law-order-special-victims-unit-13x13-fathers-shadow"
286,13,14,15 Feb 12,"Home Invasions","https://www.tvmaze.com/episodes/7264/law-order-special-victims-unit-13x14-home-invasions"
287,13,15,22 Feb 12,"Hunting Ground","https://www.tvmaze.com/episodes/7265/law-order-special-victims-unit-13x15-hunting-ground"
288,13,16,29 Feb 12,"Child's Welfare","https://www.tvmaze.com/episodes/7266/law-order-special-victims-unit-13x16-childs-welfare"
289,13,17,11 Apr 12,"Justice Denied","https://www.tvmaze.com/episodes/7267/law-order-special-victims-unit-13x17-justice-denied"
290,13,18,18 Apr 12,"Valentine's Day","https://www.tvmaze.com/episodes/7268/law-order-special-victims-unit-13x18-valentines-day"
291,13,19,25 Apr 12,"Street Revenge","https://www.tvmaze.com/episodes/7269/law-order-special-victims-unit-13x19-street-revenge"
292,13,20,02 May 12,"Father Dearest","https://www.tvmaze.com/episodes/7270/law-order-special-victims-unit-13x20-father-dearest"
293,13,21,09 May 12,"Learning Curve","https://www.tvmaze.com/episodes/7271/law-order-special-victims-unit-13x21-learning-curve"
294,13,22,16 May 12,"Strange Beauty","https://www.tvmaze.com/episodes/7272/law-order-special-victims-unit-13x22-strange-beauty"
295,13,23,23 May 12,"Rhodium Nights","https://www.tvmaze.com/episodes/7273/law-order-special-victims-unit-13x23-rhodium-nights"
296,14,1,26 Sep 12,"Lost Reputation","https://www.tvmaze.com/episodes/7274/law-order-special-victims-unit-14x01-lost-reputation"
297,14,2,26 Sep 12,"Above Suspicion","https://www.tvmaze.com/episodes/7275/law-order-special-victims-unit-14x02-above-suspicion"
298,14,3,10 Oct 12,"Twenty-Five Acts","https://www.tvmaze.com/episodes/7276/law-order-special-victims-unit-14x03-twenty-five-acts"
299,14,4,17 Oct 12,"Acceptable Loss","https://www.tvmaze.com/episodes/7277/law-order-special-victims-unit-14x04-acceptable-loss"
300,14,5,24 Oct 12,"Manhattan Vigil","https://www.tvmaze.com/episodes/7278/law-order-special-victims-unit-14x05-manhattan-vigil"
301,14,6,31 Oct 12,"Friending Emily","https://www.tvmaze.com/episodes/7279/law-order-special-victims-unit-14x06-friending-emily"
302,14,7,14 Nov 12,"Vanity's Bonfire","https://www.tvmaze.com/episodes/7280/law-order-special-victims-unit-14x07-vanitys-bonfire"
303,14,8,21 Nov 12,"Lessons Learned","https://www.tvmaze.com/episodes/7281/law-order-special-victims-unit-14x08-lessons-learned"
304,14,9,05 Dec 12,"Dreams Deferred","https://www.tvmaze.com/episodes/7282/law-order-special-victims-unit-14x09-dreams-deferred"
305,14,10,02 Jan 13,"Presumed Guilty","https://www.tvmaze.com/episodes/7283/law-order-special-victims-unit-14x10-presumed-guilty"
306,14,11,09 Jan 13,"Beautiful Frame","https://www.tvmaze.com/episodes/7284/law-order-special-victims-unit-14x11-beautiful-frame"
307,14,12,30 Jan 13,"Criminal Hatred","https://www.tvmaze.com/episodes/7285/law-order-special-victims-unit-14x12-criminal-hatred"
308,14,13,06 Feb 13,"Monster's Legacy","https://www.tvmaze.com/episodes/7286/law-order-special-victims-unit-14x13-monsters-legacy"
309,14,14,13 Feb 13,"Secrets Exhumed","https://www.tvmaze.com/episodes/7287/law-order-special-victims-unit-14x14-secrets-exhumed"
310,14,15,20 Feb 13,"Deadly Ambition","https://www.tvmaze.com/episodes/7288/law-order-special-victims-unit-14x15-deadly-ambition"
311,14,16,27 Feb 13,"Funny Valentine","https://www.tvmaze.com/episodes/7289/law-order-special-victims-unit-14x16-funny-valentine"
312,14,17,20 Mar 13,"Undercover Blue","https://www.tvmaze.com/episodes/7290/law-order-special-victims-unit-14x17-undercover-blue"
313,14,18,27 Mar 13,"Legitimate Rape","https://www.tvmaze.com/episodes/7291/law-order-special-victims-unit-14x18-legitimate-rape"
314,14,19,03 Apr 13,"Born Psychopath","https://www.tvmaze.com/episodes/7292/law-order-special-victims-unit-14x19-born-psychopath"
315,14,20,24 Apr 13,"Girl Dishonored","https://www.tvmaze.com/episodes/7293/law-order-special-victims-unit-14x20-girl-dishonored"
316,14,21,01 May 13,"Traumatic Wound","https://www.tvmaze.com/episodes/7294/law-order-special-victims-unit-14x21-traumatic-wound"
317,14,22,08 May 13,"Poisoned Motive","https://www.tvmaze.com/episodes/7295/law-order-special-victims-unit-14x22-poisoned-motive"
318,14,23,15 May 13,"Brief Interlude","https://www.tvmaze.com/episodes/7296/law-order-special-victims-unit-14x23-brief-interlude"
319,14,24,22 May 13,"Her Negotiation","https://www.tvmaze.com/episodes/7297/law-order-special-victims-unit-14x24-her-negotiation"
320,15,1,25 Sep 13,"Surrender Benson","https://www.tvmaze.com/episodes/7298/law-order-special-victims-unit-15x01-surrender-benson"
321,15,2,25 Sep 13,"Imprisoned Lives","https://www.tvmaze.com/episodes/7299/law-order-special-victims-unit-15x02-imprisoned-lives"
322,15,3,02 Oct 13,"American Tragedy","https://www.tvmaze.com/episodes/7300/law-order-special-victims-unit-15x03-american-tragedy"
323,15,4,09 Oct 13,"Internal Affairs","https://www.tvmaze.com/episodes/7301/law-order-special-victims-unit-15x04-internal-affairs"
324,15,5,16 Oct 13,"Wonderland Story","https://www.tvmaze.com/episodes/7302/law-order-special-victims-unit-15x05-wonderland-story"
325,15,6,23 Oct 13,"October Surprise","https://www.tvmaze.com/episodes/7303/law-order-special-victims-unit-15x06-october-surprise"
326,15,7,06 Nov 13,"Dissonant Voices","https://www.tvmaze.com/episodes/7304/law-order-special-victims-unit-15x07-dissonant-voices"
327,15,8,13 Nov 13,"Military Justice","https://www.tvmaze.com/episodes/7305/law-order-special-victims-unit-15x08-military-justice"
328,15,9,20 Nov 13,"Rapist Anonymous","https://www.tvmaze.com/episodes/7306/law-order-special-victims-unit-15x09-rapist-anonymous"
329,15,10,08 Jan 14,"Psycho/Therapist","https://www.tvmaze.com/episodes/7307/law-order-special-victims-unit-15x10-psychotherapist"
330,15,11,15 Jan 14,"Amaro's One-Eighty","https://www.tvmaze.com/episodes/7308/law-order-special-victims-unit-15x11-amaros-one-eighty"
331,15,12,22 Jan 14,"Jersey Breakdown","https://www.tvmaze.com/episodes/7309/law-order-special-victims-unit-15x12-jersey-breakdown"
332,15,13,29 Jan 14,"Betrayal's Climax","https://www.tvmaze.com/episodes/7310/law-order-special-victims-unit-15x13-betrayals-climax"
333,15,14,05 Feb 14,"Wednesday's Child","https://www.tvmaze.com/episodes/7311/law-order-special-victims-unit-15x14-wednesdays-child"
334,15,15,26 Feb 14,"Comic Perversion","https://www.tvmaze.com/episodes/7312/law-order-special-victims-unit-15x15-comic-perversion"
335,15,16,05 Mar 14,"Gridiron Soldier","https://www.tvmaze.com/episodes/7313/law-order-special-victims-unit-15x16-gridiron-soldier"
336,15,17,12 Mar 14,"Gambler's Fallacy","https://www.tvmaze.com/episodes/7314/law-order-special-victims-unit-15x17-gamblers-fallacy"
337,15,18,19 Mar 14,"Criminal Stories","https://www.tvmaze.com/episodes/7315/law-order-special-victims-unit-15x18-criminal-stories"
338,15,19,02 Apr 14,"Downloaded Child","https://www.tvmaze.com/episodes/7316/law-order-special-victims-unit-15x19-downloaded-child"
339,15,20,09 Apr 14,"Beast's Obsession","https://www.tvmaze.com/episodes/7317/law-order-special-victims-unit-15x20-beasts-obsession"
340,15,21,30 Apr 14,"Post-Mortem Blues","https://www.tvmaze.com/episodes/7318/law-order-special-victims-unit-15x21-post-mortem-blues"
341,15,22,07 May 14,"Reasonable Doubt","https://www.tvmaze.com/episodes/7319/law-order-special-victims-unit-15x22-reasonable-doubt"
342,15,23,14 May 14,"Thought Criminal","https://www.tvmaze.com/episodes/7320/law-order-special-victims-unit-15x23-thought-criminal"
343,15,24,21 May 14,"Spring Awakening","https://www.tvmaze.com/episodes/7321/law-order-special-victims-unit-15x24-spring-awakening"
344,16,1,24 Sep 14,"Girls Disappeared","https://www.tvmaze.com/episodes/7322/law-order-special-victims-unit-16x01-girls-disappeared"
345,16,2,01 Oct 14,"American Disgrace","https://www.tvmaze.com/episodes/7323/law-order-special-victims-unit-16x02-american-disgrace"
346,16,3,08 Oct 14,"Producer's Backend","https://www.tvmaze.com/episodes/7324/law-order-special-victims-unit-16x03-producers-backend"
347,16,4,15 Oct 14,"Holden's Manifesto","https://www.tvmaze.com/episodes/7325/law-order-special-victims-unit-16x04-holdens-manifesto"
348,16,5,22 Oct 14,"Pornstar's Requiem","https://www.tvmaze.com/episodes/7326/law-order-special-victims-unit-16x05-pornstars-requiem"
349,16,6,05 Nov 14,"Glasgowman's Wrath","https://www.tvmaze.com/episodes/7328/law-order-special-victims-unit-16x06-glasgowmans-wrath"
350,16,7,12 Nov 14,"Chicago Crossover","https://www.tvmaze.com/episodes/7329/law-order-special-victims-unit-16x07-chicago-crossover"
351,16,8,19 Nov 14,"Spousal Privilege","https://www.tvmaze.com/episodes/20892/law-order-special-victims-unit-16x08-spousal-privilege"
352,16,9,10 Dec 14,"Pattern Seventeen","https://www.tvmaze.com/episodes/46973/law-order-special-victims-unit-16x09-pattern-seventeen"
353,16,10,07 Jan 15,"Forgiving Rollins","https://www.tvmaze.com/episodes/57570/law-order-special-victims-unit-16x10-forgiving-rollins"
354,16,11,14 Jan 15,"Agent Provocateur","https://www.tvmaze.com/episodes/96504/law-order-special-victims-unit-16x11-agent-provocateur"
355,16,12,21 Jan 15,"Padre Sandunguero","https://www.tvmaze.com/episodes/96505/law-order-special-victims-unit-16x12-padre-sandunguero"
356,16,13,04 Feb 15,"Decaying Morality","https://www.tvmaze.com/episodes/117539/law-order-special-victims-unit-16x13-decaying-morality"
357,16,14,11 Feb 15,"Intimidation Game","https://www.tvmaze.com/episodes/117540/law-order-special-victims-unit-16x14-intimidation-game"
358,16,15,18 Feb 15,"Undercover Mother","https://www.tvmaze.com/episodes/117541/law-order-special-victims-unit-16x15-undercover-mother"
359,16,16,25 Feb 15,"December Solstice","https://www.tvmaze.com/episodes/117542/law-order-special-victims-unit-16x16-december-solstice"
360,16,17,25 Mar 15,"Parole Violations","https://www.tvmaze.com/episodes/139561/law-order-special-victims-unit-16x17-parole-violations"
361,16,18,01 Apr 15,"Devastating Story","https://www.tvmaze.com/episodes/144132/law-order-special-victims-unit-16x18-devastating-story"
362,16,19,08 Apr 15,"Granting Immunity","https://www.tvmaze.com/episodes/144131/law-order-special-victims-unit-16x19-granting-immunity"
363,16,20,29 Apr 15,"Daydream Believer","https://www.tvmaze.com/episodes/153000/law-order-special-victims-unit-16x20-daydream-believer"
364,16,21,06 May 15,"Perverted Justice","https://www.tvmaze.com/episodes/153470/law-order-special-victims-unit-16x21-perverted-justice"
365,16,22,13 May 15,"Parent's Nightmare","https://www.tvmaze.com/episodes/153001/law-order-special-victims-unit-16x22-parents-nightmare"
366,16,23,20 May 15,"Surrendering Noah","https://www.tvmaze.com/episodes/141977/law-order-special-victims-unit-16x23-surrendering-noah"
367,17,1,23 Sep 15,"Devil's Dissections","https://www.tvmaze.com/episodes/181899/law-order-special-victims-unit-17x01-devils-dissections"
368,17,2,23 Sep 15,"Criminal Pathology","https://www.tvmaze.com/episodes/181900/law-order-special-victims-unit-17x02-criminal-pathology"
369,17,3,30 Sep 15,"Transgender Bridge","https://www.tvmaze.com/episodes/181901/law-order-special-victims-unit-17x03-transgender-bridge"
370,17,4,07 Oct 15,"Institutional Fail","https://www.tvmaze.com/episodes/206512/law-order-special-victims-unit-17x04-institutional-fail"
371,17,5,14 Oct 15,"Community Policing","https://www.tvmaze.com/episodes/206513/law-order-special-victims-unit-17x05-community-policing"
372,17,6,21 Oct 15,"Maternal Instincts","https://www.tvmaze.com/episodes/206514/law-order-special-victims-unit-17x06-maternal-instincts"
373,17,7,04 Nov 15,"Patrimonial Burden","https://www.tvmaze.com/episodes/206515/law-order-special-victims-unit-17x07-patrimonial-burden"
374,17,8,11 Nov 15,"Melancholy Pursuit","https://www.tvmaze.com/episodes/260877/law-order-special-victims-unit-17x08-melancholy-pursuit"
375,17,9,18 Nov 15,"Depravity Standard","https://www.tvmaze.com/episodes/260878/law-order-special-victims-unit-17x09-depravity-standard"
376,17,10,06 Jan 16,"Catfishing Teacher","https://www.tvmaze.com/episodes/473794/law-order-special-victims-unit-17x10-catfishing-teacher"
377,17,11,13 Jan 16,"Townhouse Incident","https://www.tvmaze.com/episodes/541976/law-order-special-victims-unit-17x11-townhouse-incident"
378,17,12,20 Jan 16,"A Misunderstanding","https://www.tvmaze.com/episodes/549807/law-order-special-victims-unit-17x12-a-misunderstanding"
379,17,13,03 Feb 16,"Forty-One Witnesses","https://www.tvmaze.com/episodes/567162/law-order-special-victims-unit-17x13-forty-one-witnesses"
380,17,14,10 Feb 16,"Nationwide Manhunt","https://www.tvmaze.com/episodes/577065/law-order-special-victims-unit-17x14-nationwide-manhunt"
381,17,15,17 Feb 16,"Collateral Damages","https://www.tvmaze.com/episodes/583613/law-order-special-victims-unit-17x15-collateral-damages"
382,17,16,24 Feb 16,"Star-Struck Victims","https://www.tvmaze.com/episodes/596862/law-order-special-victims-unit-17x16-star-struck-victims"
383,17,17,02 Mar 16,"Manhattan Transfer","https://www.tvmaze.com/episodes/608544/law-order-special-victims-unit-17x17-manhattan-transfer"
384,17,18,23 Mar 16,"Unholiest Alliance","https://www.tvmaze.com/episodes/633524/law-order-special-victims-unit-17x18-unholiest-alliance"
385,17,19,30 Mar 16,"Sheltered Outcasts","https://www.tvmaze.com/episodes/644507/law-order-special-victims-unit-17x19-sheltered-outcasts"
386,17,20,04 May 16,"Fashionable Crimes","https://www.tvmaze.com/episodes/664361/law-order-special-victims-unit-17x20-fashionable-crimes"
387,17,21,11 May 16,"Assaulting Reality","https://www.tvmaze.com/episodes/664360/law-order-special-victims-unit-17x21-assaulting-reality"
388,17,22,18 May 16,"Intersecting Lives","https://www.tvmaze.com/episodes/666139/law-order-special-victims-unit-17x22-intersecting-lives"
389,17,23,25 May 16,"Heartfelt Passages","https://www.tvmaze.com/episodes/666143/law-order-special-victims-unit-17x23-heartfelt-passages"
390,18,1,21 Sep 16,"Terrorized","https://www.tvmaze.com/episodes/834099/law-order-special-victims-unit-18x01-terrorized"
391,18,2,28 Sep 16,"Making a Rapist","https://www.tvmaze.com/episodes/880635/law-order-special-victims-unit-18x02-making-a-rapist"
392,18,3,05 Oct 16,"Imposter","https://www.tvmaze.com/episodes/891930/law-order-special-victims-unit-18x03-imposter"
393,18,4,12 Oct 16,"Heightened Emotions","https://www.tvmaze.com/episodes/929544/law-order-special-victims-unit-18x04-heightened-emotions"
394,18,5,26 Oct 16,"Rape Interrupted","https://www.tvmaze.com/episodes/962829/law-order-special-victims-unit-18x05-rape-interrupted"
395,18,6,09 Nov 16,"Broken Rhymes","https://www.tvmaze.com/episodes/939449/law-order-special-victims-unit-18x06-broken-rhymes"
396,18,7,04 Jan 17,"Next Chapter","https://www.tvmaze.com/episodes/939451/law-order-special-victims-unit-18x07-next-chapter"
397,18,8,11 Jan 17,"Chasing Theo","https://www.tvmaze.com/episodes/1019508/law-order-special-victims-unit-18x08-chasing-theo"
398,18,9,18 Jan 17,"Decline and Fall","https://www.tvmaze.com/episodes/981734/law-order-special-victims-unit-18x09-decline-and-fall"
399,18,10,08 Feb 17,"Motherly Love","https://www.tvmaze.com/episodes/981736/law-order-special-victims-unit-18x10-motherly-love"
400,18,11,15 Feb 17,"Great Expectations","https://www.tvmaze.com/episodes/1043711/law-order-special-victims-unit-18x11-great-expectations"
401,18,12,22 Feb 17,"No Surrender","https://www.tvmaze.com/episodes/1053704/law-order-special-victims-unit-18x12-no-surrender"
402,18,13,22 Mar 17,"Genes","https://www.tvmaze.com/episodes/1071382/law-order-special-victims-unit-18x13-genes"
403,18,14,29 Mar 17,"Net Worth","https://www.tvmaze.com/episodes/1071383/law-order-special-victims-unit-18x14-net-worth"
404,18,15,05 Apr 17,"Know It All","https://www.tvmaze.com/episodes/1071381/law-order-special-victims-unit-18x15-know-it-all"
405,18,16,26 Apr 17,"The Newsroom","https://www.tvmaze.com/episodes/1071384/law-order-special-victims-unit-18x16-the-newsroom"
406,18,17,03 May 17,"Real Fake News","https://www.tvmaze.com/episodes/1071385/law-order-special-victims-unit-18x17-real-fake-news"
407,18,18,10 May 17,"Spellbound","https://www.tvmaze.com/episodes/1071386/law-order-special-victims-unit-18x18-spellbound"
408,18,19,17 May 17,"Conversion","https://www.tvmaze.com/episodes/1071387/law-order-special-victims-unit-18x19-conversion"
409,18,20,24 May 17,"American Dream","https://www.tvmaze.com/episodes/1071388/law-order-special-victims-unit-18x20-american-dream"
410,18,21,24 May 17,"Sanctuary","https://www.tvmaze.com/episodes/1099631/law-order-special-victims-unit-18x21-sanctuary"
411,19,1,27 Sep 17,"Gone Fishin'","https://www.tvmaze.com/episodes/1217479/law-order-special-victims-unit-19x01-gone-fishin"
412,19,2,04 Oct 17,"Mood","https://www.tvmaze.com/episodes/1231670/law-order-special-victims-unit-19x02-mood"
413,19,3,11 Oct 17,"Contrapasso","https://www.tvmaze.com/episodes/1231671/law-order-special-victims-unit-19x03-contrapasso"
414,19,4,18 Oct 17,"No Good Reason","https://www.tvmaze.com/episodes/1231672/law-order-special-victims-unit-19x04-no-good-reason"
415,19,5,25 Oct 17,"Complicated","https://www.tvmaze.com/episodes/1284881/law-order-special-victims-unit-19x05-complicated"
416,19,6,01 Nov 17,"Unintended Consequences","https://www.tvmaze.com/episodes/1231673/law-order-special-victims-unit-19x06-unintended-consequences"
417,19,7,29 Nov 17,"Something Happened","https://www.tvmaze.com/episodes/1334062/law-order-special-victims-unit-19x07-something-happened"
418,19,8,06 Dec 17,"Intent","https://www.tvmaze.com/episodes/1349496/law-order-special-victims-unit-19x08-intent"
419,19,9,03 Jan 18,"Gone Baby Gone","https://www.tvmaze.com/episodes/1359551/law-order-special-victims-unit-19x09-gone-baby-gone"
420,19,10,10 Jan 18,"Pathological","https://www.tvmaze.com/episodes/1359552/law-order-special-victims-unit-19x10-pathological"
421,19,11,17 Jan 18,"Flight Risk","https://www.tvmaze.com/episodes/1362021/law-order-special-victims-unit-19x11-flight-risk"
422,19,12,31 Jan 18,"Info Wars","https://www.tvmaze.com/episodes/1387004/law-order-special-victims-unit-19x12-info-wars"
423,19,13,07 Feb 18,"The Undiscovered Country","https://www.tvmaze.com/episodes/1387061/law-order-special-victims-unit-19x13-the-undiscovered-country"
424,19,14,28 Feb 18,"Chasing Demons","https://www.tvmaze.com/episodes/1389427/law-order-special-victims-unit-19x14-chasing-demons"
425,19,15,07 Mar 18,"In Loco Parentis","https://www.tvmaze.com/episodes/1407075/law-order-special-victims-unit-19x15-in-loco-parentis"
426,19,16,14 Mar 18,"Dare","https://www.tvmaze.com/episodes/1414668/law-order-special-victims-unit-19x16-dare"
427,19,17,21 Mar 18,"Send in the Clowns","https://www.tvmaze.com/episodes/1418588/law-order-special-victims-unit-19x17-send-in-the-clowns"
428,19,18,11 Apr 18,"Service","https://www.tvmaze.com/episodes/1422141/law-order-special-victims-unit-19x18-service"
429,19,19,18 Apr 18,"Sunk Cost Fallacy","https://www.tvmaze.com/episodes/1422142/law-order-special-victims-unit-19x19-sunk-cost-fallacy"
430,19,20,02 May 18,"The Book of Esther","https://www.tvmaze.com/episodes/1424036/law-order-special-victims-unit-19x20-the-book-of-esther"
431,19,21,09 May 18,"Guardian","https://www.tvmaze.com/episodes/1434479/law-order-special-victims-unit-19x21-guardian"
432,19,22,16 May 18,"Mama","https://www.tvmaze.com/episodes/1435975/law-order-special-victims-unit-19x22-mama"
433,19,23,23 May 18,"Remember Me","https://www.tvmaze.com/episodes/1435976/law-order-special-victims-unit-19x23-remember-me"
434,19,24,23 May 18,"Remember Me Too","https://www.tvmaze.com/episodes/1435977/law-order-special-victims-unit-19x24-remember-me-too"
435,20,1,27 Sep 18,"Man Up","https://www.tvmaze.com/episodes/1482237/law-order-special-victims-unit-20x01-man-up"
436,20,2,27 Sep 18,"Man Down","https://www.tvmaze.com/episodes/1482238/law-order-special-victims-unit-20x02-man-down"
437,20,3,04 Oct 18,"Zero Tolerance","https://www.tvmaze.com/episodes/1500307/law-order-special-victims-unit-20x03-zero-tolerance"
438,20,4,11 Oct 18,"Revenge","https://www.tvmaze.com/episodes/1514192/law-order-special-victims-unit-20x04-revenge"
439,20,5,18 Oct 18,"Accredo","https://www.tvmaze.com/episodes/1521481/law-order-special-victims-unit-20x05-accredo"
440,20,6,25 Oct 18,"Exile","https://www.tvmaze.com/episodes/1521482/law-order-special-victims-unit-20x06-exile"
441,20,7,01 Nov 18,"Caretaker","https://www.tvmaze.com/episodes/1521483/law-order-special-victims-unit-20x07-caretaker"
442,20,8,08 Nov 18,"Hell's Kitchen","https://www.tvmaze.com/episodes/1521484/law-order-special-victims-unit-20x08-hells-kitchen"
443,20,9,15 Nov 18,"Mea Culpa","https://www.tvmaze.com/episodes/1521486/law-order-special-victims-unit-20x09-mea-culpa"
444,20,10,29 Nov 18,"Alta Kockers","https://www.tvmaze.com/episodes/1553943/law-order-special-victims-unit-20x10-alta-kockers"
445,20,11,10 Jan 19,"Plastic","https://www.tvmaze.com/episodes/1571538/law-order-special-victims-unit-20x11-plastic"
446,20,12,17 Jan 19,"Dear Ben","https://www.tvmaze.com/episodes/1585292/law-order-special-victims-unit-20x12-dear-ben"
447,20,13,31 Jan 19,"A Story of More Woe","https://www.tvmaze.com/episodes/1588181/law-order-special-victims-unit-20x13-a-story-of-more-woe"
448,20,14,07 Feb 19,"Part 33","https://www.tvmaze.com/episodes/1595365/law-order-special-victims-unit-20x14-part-33"
